zipcode,airbnb_price_mean,airbnb_record_count,airbnb_weekly_price_mean,airbnb_monthly_price_mean
2010,40,1,NULL,NULL
2134,50,1,NULL,NULL
2582,104,1,NULL,NULL
3000,151,3367,919,3407
3001,132,2,NULL,NULL
3002,201,197,956,3713
3003,130,267,760,2630
3004,158,728,1061,3760
3006,189,1268,1240,4359
3008,177,616,1025,3223
3011,96,198,442,1625
3012,113,76,518,2335
3013,136,82,924,2966
3015,132,65,706,2002
3016,191,74,612,2120
3018,86,37,732,1550
3019,90,15,200,NULL
3020,70,45,160,600
3021,82,20,350,1300
3023,93,35,500,NULL
3024,76,18,NULL,NULL
3025,114,17,NULL,NULL
3027,142,39,400,1200
3028,108,38,430,870
3029,76,113,513,1692
3030,116,258,590,2225
3031,120,188,645,2184
3032,112,176,470,1678
3033,84,14,307,850
3034,127,4,NULL,NULL
3036,228,5,NULL,NULL
3037,66,16,427,1554
3038,91,8,600,NULL
3039,101,52,392,1533
3040,114,56,788,3367
3041,106,8,350,1500
3042,82,35,568,1801
3043,115,29,700,1502
3044,99,40,514,1568
3046,69,60,351,1077
3047,64,21,475,NULL
3048,58,4,NULL,NULL
3049,92,21,400,NULL
3051,112,338,754,3152
3052,92,90,472,1633
3053,112,538,924,3205
3054,121,138,642,1691
3055,88,87,519,1726
3056,95,446,619,2309
3057,154,185,596,2790
3058,103,133,896,3624
3059,136,17,421,1613
3060,50,9,NULL,NULL
3063,160,7,2000,7000
3064,71,42,185,NULL
3065,154,387,1088,3735
3066,146,297,920,3087
3067,131,258,605,2187
3068,126,308,801,2802
3070,113,284,586,2429
3071,125,114,676,2580
3072,94,141,525,1449
3073,274,68,400,1460
3074,82,12,NULL,NULL
3075,143,10,200,800
3076,52,17,395,1440
3078,111,74,605,2234
3079,125,38,515,1875
3081,84,38,291,938
3082,77,18,NULL,NULL
3083,84,87,702,2292
3084,127,72,1129,2298
3085,93,6,200,750
3087,77,3,NULL,NULL
3088,68,11,250,955
3089,81,6,350,NULL
3093,90,6,525,1820
3094,94,9,NULL,NULL
3095,112,29,702,2850
3096,100,1,250,1500
3097,147,17,1098,4157
3099,136,10,586,2119
3101,140,107,610,1300
3102,759,12,1589,5627
3103,105,57,607,2111
3104,97,41,1118,4063
3105,116,23,528,2000
3106,127,23,NULL,NULL
3107,228,19,350,1400
3108,129,141,1138,5125
3109,117,53,1042,4312
3111,152,10,624,2217
3113,282,31,678,1977
3114,270,8,640,NULL
3115,224,7,2237,10060
3116,349,11,390,1261
3121,162,628,1089,3772
3122,181,184,1726,8159
3123,151,81,1341,6069
3124,139,88,527,2743
3125,88,61,384,870
3126,148,23,922,2702
3127,86,68,444,1699
3128,111,214,426,1611
3129,113,104,133,527
3130,103,59,502,2147
3131,113,27,465,1975
3132,69,38,NULL,NULL
3133,76,44,660,3980
3134,117,56,355,1202
3135,104,17,NULL,NULL
3136,85,26,742,2530
3137,110,9,1300,7000
3138,110,14,NULL,NULL
