Suburb,Rooms,Type,Price,Postcode,Car,BuildingArea,YearBuilt,Regionname,zipcode,airbnb_record_count,airbnb_daily_price_mean,airbnb_weekly_price_mean,airbnb_monthly_price_mean,airbnb_daily_price_median,airbnb_weekly_price_median,airbnb_monthly_price_median
Abbotsford,2,h,1480000.0,3067.0,1.0,,,Northern Metropolitan,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
Abbotsford,2,h,1480000.0,3067.0,1.0,,,Northern Metropolitan,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
Abbotsford,2,h,1035000.0,3067.0,0.0,79.0,1900.0,Northern Metropolitan,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
Abbotsford,2,h,1035000.0,3067.0,0.0,79.0,1900.0,Northern Metropolitan,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
Abbotsford,3,h,1465000.0,3067.0,0.0,150.0,1900.0,Northern Metropolitan,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
Abbotsford,3,h,1465000.0,3067.0,0.0,150.0,1900.0,Northern Metropolitan,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
Abbotsford,3,h,850000.0,3067.0,1.0,,,Northern Metropolitan,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
Abbotsford,3,h,850000.0,3067.0,1.0,,,Northern Metropolitan,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
Abbotsford,4,h,1600000.0,3067.0,2.0,142.0,2014.0,Northern Metropolitan,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
Abbotsford,4,h,1600000.0,3067.0,2.0,142.0,2014.0,Northern Metropolitan,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
Abbotsford,2,h,941000.0,3067.0,0.0,,,Northern Metropolitan,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
Abbotsford,2,h,941000.0,3067.0,0.0,,,Northern Metropolitan,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
Abbotsford,3,h,1876000.0,3067.0,0.0,210.0,1910.0,Northern Metropolitan,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
Abbotsford,3,h,1876000.0,3067.0,0.0,210.0,1910.0,Northern Metropolitan,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
Abbotsford,2,h,1636000.0,3067.0,2.0,107.0,1890.0,Northern Metropolitan,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
Abbotsford,2,h,1636000.0,3067.0,2.0,107.0,1890.0,Northern Metropolitan,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
Abbotsford,1,u,300000.0,3067.0,1.0,,,Northern Metropolitan,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
Abbotsford,1,u,300000.0,3067.0,1.0,,,Northern Metropolitan,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
Abbotsford,2,h,1097000.0,3067.0,2.0,75.0,1900.0,Northern Metropolitan,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
Abbotsford,2,h,1097000.0,3067.0,2.0,75.0,1900.0,Northern Metropolitan,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
Abbotsford,2,u,700000.0,3067.0,1.0,,,Northern Metropolitan,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
Abbotsford,2,u,700000.0,3067.0,1.0,,,Northern Metropolitan,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
Abbotsford,3,h,1350000.0,3067.0,2.0,190.0,2005.0,Northern Metropolitan,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
Abbotsford,3,h,1350000.0,3067.0,2.0,190.0,2005.0,Northern Metropolitan,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
Abbotsford,2,u,750000.0,3067.0,1.0,94.0,2009.0,Northern Metropolitan,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
Abbotsford,2,u,750000.0,3067.0,1.0,94.0,2009.0,Northern Metropolitan,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
Abbotsford,2,h,1172500.0,3067.0,1.0,,,Northern Metropolitan,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
Abbotsford,2,h,1172500.0,3067.0,1.0,,,Northern Metropolitan,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
Abbotsford,1,u,441000.0,3067.0,1.0,,,Northern Metropolitan,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
Abbotsford,1,u,441000.0,3067.0,1.0,,,Northern Metropolitan,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
Abbotsford,2,h,1310000.0,3067.0,2.0,97.0,1890.0,Northern Metropolitan,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
Abbotsford,2,h,1310000.0,3067.0,2.0,97.0,1890.0,Northern Metropolitan,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
Abbotsford,3,h,1200000.0,3067.0,1.0,110.0,1880.0,Northern Metropolitan,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
Abbotsford,3,h,1200000.0,3067.0,1.0,110.0,1880.0,Northern Metropolitan,3067.0,101.0,115.5940594059406,735.3529411764706,2863.9,96.0,570.0,2000.0
Abbotsford,3,h,1176500.0,3067.0,1.0,105.0,1890.0,Northern Metropolitan,3067.0,157.0,140.29299363057325,236.25,956.3636363636364,101.0,180.0,700.0
